"","germplasmName","DON","Heading","Height","Lodging","Maturity","TestWeight","Yield","Weight..lb.","notes.x","notes.y"
"186","IL2022-14756",1.38,130.28,36.42,2.87,165.16,58.09,79.86,6.75,"hd:E, obs:Fair",""
"187","IL2022-14804",1.28,129.14,38.24,2.29,164.6,59.76,80.97,6.71,"hd:E, obs:Normal",NA
"188","IL2022-14832",1.76,130.46,36.89,1.9,168.07,56.25,84.59,7.42,"hd:N, obs:Normal",NA
"189","IL2022-14846",0.88,130.35,38.09,2.07,166.54,58.37,78.72,6.61,"hd:E, obs:Normal",NA
"190","IL2022-14871",1.44,130.29,36.64,2.22,166.71,60.86,79.1,7.34,"hd:E, obs:Fair",""
"191","IL2022-14912",1.6,131.08,36.9,2.02,165.64,59.16,82.19,8.45,"hd:N, obs:Normal",NA
"192","IL2022-14913",1.33,132.27,37.35,3.56,164.53,58.5,83.58,7.46,"obs:Poor",""
"193","IL2022-14924",1.64,127.13,36.47,2.21,163.35,59.09,75.96,6.56,"hd:E, obs:Poor",""
"194","IL2022-14944",2.08,132.47,36.72,2.71,166.46,58.15,80.77,7.37,"hd:N, obs:Normal",NA
"195","IL2022-14945",1.75,131.71,39.82,3.07,167.85,57.59,90.11,7.54,"obs:Fair",""
"196","IL2022-14949",1.91,130.84,36.32,2.9,166.7,56.4,87.12,8.11,"obs:Poor",NA
"197","IL2022-15005",1.58,130.78,38.84,1.44,165.38,59.97,84.64,5.91,"hd:E, obs:Fair",NA
"198","IL2022-15017",1.08,132.18,37.98,2.22,168.79,59.51,79.61,5.99,"hd:E, obs:Good",NA
"199","IL2022-15028",1.01,132.33,35.89,1.84,168.47,60,86.25,7.86,"hd:N, obs:Normal",""
"200","IL2022-15043",1.38,130.14,35.85,2.06,167.07,59.32,90.21,5.62,"obs:Good",""
"201","IL2022-15074",1.89,131.36,37.42,1.67,166.25,58.4,77.25,5.78,"obs:Fair",""
"202","IL2022-15108",1.79,130.87,36.69,2.21,167.22,58.51,85.56,6.1,"hd:E, obs:Good",""
"203","IL2022-15115",1.66,127.65,37.29,2.22,165.53,57.95,77.15,5.86,"hd:E, obs:Normal",""
"204","IL2022-15148",1.48,128.62,37.69,2.03,166.98,57.99,82.14,6.44,"hd:E, obs:Good",NA
"205","IL2022-15151",2.2,130.06,35.69,1.72,167.73,58.16,84.96,7.13,"hd:N, obs:Normal",NA
