germplasmName,observationUnitName,notes
IL2022-641,SI_Urb_23-1260,"hd:N, obs:Fair"
IL2022-20420,SI_Urb_23-1261,"hd:N, obs:Fair"
IL2022-13055,SI_Urb_23-1262,"hd:N, obs:Normal"
IL2022-710,SI_Urb_23-1263,"hd:E, obs:Normal"
IL2022-4778,SI_Urb_23-1264,"hd:N, very mixed , obs:Fair"
IL2022-18037,SI_Urb_23-1265,"hd:E, obs:Normal"
IL2022-22816,SI_Urb_23-1266,"hd:N, obs:Fair"
IL2022-14137,SI_Urb_23-1267,"hd:E, obs:Normal"
IL2022-457,SI_Urb_23-1268,"hd:N, obs:Good"
IL2022-7044,SI_Urb_23-1269,"hd:L, obs:Normal"
IL2022F4S-14501,SI_Urb_23-127,"hd:L, obs:Good"
IL2022-11016,SI_Urb_23-1270,"hd:E, obs:Normal"
IL2022-18139,SI_Urb_23-1271,"hd:N, obs:Normal"
IL2022-1464,SI_Urb_23-1272,"hd:N, obs:Poor"
IL2022-14832,SI_Urb_23-1273,"hd:N, obs:Normal"
IL2022-8965,SI_Urb_23-1274,"hd:E, obs:Normal"
IL2022-1056,SI_Urb_23-1275,"hd:N, obs:Poor"
IL2022F4S-11202,SI_Urb_23-1276,"hd:E, obs:Normal"
IL2022F3S-24203,SI_Urb_23-1277,"hd:E, obs:Fair"
IL2022F4S-701,SI_Urb_23-1278,"hd:N, obs:Normal"
IL2022F4S-15201,SI_Urb_23-1279,"hd:E, obs:Fair"
IL2022F4S-19705,SI_Urb_23-128,obs:Fair
IL2022F4S-8201,SI_Urb_23-1280,"hd:N, obs:Normal"
IL2022F4S-1802,SI_Urb_23-1281,"hd:N, obs:Good"
IL2022F4S-21204,SI_Urb_23-1282,"hd:E, bearded , obs:Excellent "
IL2022F4S-9603,SI_Urb_23-1283,"hd:E, obs:Good"
IL2022F4S-15705,SI_Urb_23-1284,"hd:L, obs:Fair"
IL2022F4S-16106,SI_Urb_23-1285,"hd:E, obs:Good"
IL2022F4S-2003,SI_Urb_23-1286,"hd:N, obs:Fair"
IL2022F4S-5102,SI_Urb_23-1287,"hd:E, obs:Fair"
IL2022F4S-12506,SI_Urb_23-1288,"hd:N, obs:Normal"
IL2022F4S-14605,SI_Urb_23-1289,"hd:N, obs:Fair"
IL2022F4S-807,SI_Urb_23-129,"hd:L, obs:Poor"
IL2022F4S-17303,SI_Urb_23-1290,"hd:L, short, obs:Normal"
IL2022F4S-5702,SI_Urb_23-1291,"hd:E, obs:Normal"
IL2022F4S-19102,SI_Urb_23-1292,"hd:E, obs:Poor"
