,germplasmName,Weight..lb.,observationUnitName,notes,Decision,purdy pedigree
951,IL2022F4S-10401,4.89,SI_Urb_23-830,"hd:E, obs:Fair",1,17-8626/16-28802
952,IL2022F4S-10402,5.4,SI_Urb_23-1015,"hd:N, obs:Fair",1,17-8626/16-28802
953,IL2022F4S-10502,3.66,SI_Urb_23-30,"hd:N, obs:Normal",1,17-8626/17-23868
954,IL2022F4S-10601,4.32,SI_Urb_23-709,obs:Fair,1,17-8626/17-23904
955,IL2022F4S-10602,4.83,SI_Urb_23-329,"hd:L, obs:Good",1,17-8626/17-23904
956,IL2022F4S-10603,4.01,SI_Urb_23-823,"hd:N, obs:Fair",1,17-8626/17-23904
957,IL2022F4S-10604,4.21,SI_Urb_23-46,"hd:N, obs:Fair",1,17-8626/17-23904
958,IL2022F4S-10605,6.02,SI_Urb_23-995,"hd:E, obs:Normal",1,17-8626/17-23904
959,IL2022F4S-10701,5.62,SI_Urb_23-703,"hd:E, obs:Fair",1,17-9663/16-11226
960,IL2022F4S-10702,5.38,SI_Urb_23-1216,"hd:N, obs:Normal",1,17-9663/16-11226
962,IL2022F4S-10704,5.72,SI_Urb_23-1203,"hd:N, obs:Normal",1,17-9663/16-11226
963,IL2022F4S-10705,5.15,SI_Urb_23-620,"hd:E, obs:Fair",1,17-9663/16-11226
965,IL2022F4S-10901,5.71,SI_Urb_23-996,"hd:L, obs:Normal",1,17-9839/16-11226
966,IL2022F4S-10902,4.71,SI_Urb_23-1394,"hd:N, late, obs:Normal",1,17-9839/16-11226
967,IL2022F4S-10903,6.02,SI_Urb_23-1374,"hd:N, obs:Normal",1,17-9839/16-11226
969,IL2022F4S-10905,5.32,SI_Urb_23-1111,"hd:N, obs:Good",1,17-9839/16-11226
970,IL2022F4S-11001,5.27,SI_Urb_23-619,"hd:E, obs:Fair",1,17-9839/17-23868
971,IL2022F4S-11002,5.65,SI_Urb_23-623,"hd:E, obs:Good",1,17-9839/17-23868
972,IL2022F4S-11003,5.77,SI_Urb_23-1391,"hd:E, late, obs:Normal",1,17-9839/17-23868
973,IL2022F4S-1102,4.85,SI_Urb_23-1488,"hd:L, obs:Normal",1,15-2639/16-11226
974,IL2022F4S-11202,5.8,SI_Urb_23-1276,"hd:E, obs:Normal",1,OH13-88-61/17-23868
975,IL2022F4S-11203,6,SI_Urb_23-1481,"hd:N, obs:Good",1,OH13-88-61/17-23868
976,IL2022F4S-11204,4.72,SI_Urb_23-617,"hd:L, obs:Normal",1,OH13-88-61/17-23868
977,IL2022F4S-11205,4.01,SI_Urb_23-443,obs:Fair,1,OH13-88-61/17-23868
978,IL2022F4S-11301,5.49,SI_Urb_23-1202,"hd:N, obs:Good",1,OH13-88-61/17-23904
979,IL2022F4S-11302,5.9,SI_Urb_23-1399,"hd:L, obs:Fair",1,OH13-88-61/17-23904
980,IL2022F4S-11303,6.76,SI_Urb_23-1486,"hd:L, obs:Normal",1,OH13-88-61/17-23904
981,IL2022F4S-11304,4.12,SI_Urb_23-256,"hd:L, obs:Fair",1,OH13-88-61/17-23904
986,IL2022F4S-11502,4.49,SI_Urb_23-231,"hd:L, obs:Normal",1,US16-IL-065-030/16-28802
987,IL2022F4S-11503,5.93,SI_Urb_23-917,"hd:L, full plot, obs:Fair",1,US16-IL-065-030/16-28802
989,IL2022F4S-11505,4.94,SI_Urb_23-1018,"hd:E, obs:Fair",1,US16-IL-065-030/16-28802
990,IL2022F4S-11506,4.82,SI_Urb_23-1471,"hd:N, obs:Normal",1,US16-IL-065-030/16-28802
